drug_name,n_rows,n_unique_cell_lines,prop_missing_ln_ic50
Ulixertinib,1698,963,0.0
Oxaliplatin,1684,967,0.0
Fulvestrant,1680,965,0.0
Selumetinib,1666,967,0.0
Dactinomycin,1659,960,0.0
Docetaxel,1637,968,0.0
GSK343,1634,965,0.0
Uprosertib,1634,966,0.0
Acetalax,1434,717,0.0
MG-132,969,969,0.0
PD0325901,968,968,0.0
5-Fluorouracil,968,968,0.0
MK-2206,968,968,0.0
Camptothecin,968,968,0.0
Nutlin-3a (-),968,968,0.0
Palbociclib,968,968,0.0
Staurosporine,968,968,0.0
Pictilisib,967,967,0.0
Navitoclax,967,967,0.0
MK-1775,967,967,0.0
Olaparib,967,967,0.0
PD173074,967,967,0.0
Afatinib,966,966,0.0
Taselisib,966,966,0.0
Trametinib,966,966,0.0
AZD3759,966,966,0.0
Sapitinib,966,966,0.0
Crizotinib,966,966,0.0
Lapatinib,966,966,0.0
MIRA-1,966,966,0.0
Linsitinib,966,966,0.0
Alpelisib,965,965,0.0
Temozolomide,965,965,0.0
EPZ004777,965,965,0.0
GSK1904529A,965,965,0.0
Irinotecan,965,965,0.0
SCH772984,964,964,0.0
Luminespib,964,964,0.0
LGK974,964,964,0.0
Dasatinib,962,962,0.0
EPZ5676,962,962,0.0
WEHI-539,962,962,0.0
PLX-4720,961,961,0.0
AZD7762,961,961,0.0
Axitinib,961,961,0.0
OSI-027,960,960,0.0
Gemcitabine,960,960,0.0
AZD4547,959,959,0.0
Ribociclib,959,959,0.0
Vorinostat,959,959,0.0
Venetoclax,958,958,0.0
SN-38,958,958,0.0
Buparlisib,958,958,0.0
YK-4-279,958,958,0.0
Sepantronium bromide,958,958,0.0
AZD5363,958,958,0.0
AZD8186,958,958,0.0
Sorafenib,958,958,0.0
AGI-5198,958,958,0.0
Telomerase Inhibitor IX,958,958,0.0
BMS-536924,958,958,0.0
AZD6738,958,958,0.0
I-BRD9,958,958,0.0
GSK2578215A,958,958,0.0
Gefitinib,958,958,0.0
