Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Defense Response To Gram-negative Bacterium (GO:0050829),8/75,4.3660683761163095e-06,0.0061779867522045,0,0,9.711607252991245,119.85723472395466,IL23A;DEFA4;DEFA3;CTSG;DEFA1;LYZ;TLR4;LYPD8
GO_Biological_Process_2023,Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040036),4/19,7.968955334942191e-05,0.056380358994716,0,0,21.392953929539296,201.89326559755048,SPRY4;SPRY2;PRKD2;FGF2
GO_Biological_Process_2023,Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040037),3/13,0.0005030451781781706,0.2034270659105375,0,0,23.975708502024293,182.091443975185,SPRY4;SPRY2;FGF2
GO_Biological_Process_2023,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),4/31,0.0005750588435633571,0.2034270659105375,0,0,11.877747666365552,88.62032889970618,RET;CYLD;TLR6;TLR4
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),9/204,0.0011020743499525,0.2282510717508852,0,0,3.744972869454197,25.505366553988782,IL23A;DEFA4;DEFA3;CTSG;TLR6;DEFA1;LYZ;TLR4;LYPD8
GO_Biological_Process_2023,Import Into Cell (GO:0098657),4/38,0.001259834960626,0.2282510717508852,0,0,9.428981348637016,62.95518270315384,SLC7A8;LRRC8C;SLC1A6;SLC1A7
GO_Biological_Process_2023,Response To Ethanol (GO:0045471),3/18,0.0013704651637112,0.2282510717508852,0,0,15.979757085020244,105.34822743570048,GRIN2A;OPRM1;ADH6
GO_Biological_Process_2023,Amylin Receptor Signaling Pathway (GO:0097647),2/5,0.0015180521410465,0.2282510717508852,0,0,53.083333333333336,344.52820496474425,CALCR;RAMP1
GO_Biological_Process_2023,Regulation Of Protein Kinase B Signaling (GO:0051896),7/136,0.0016318316719703,0.2282510717508852,0,0,4.3815038121670336,28.120720049256143,RET;CALCR;MC1R;SORD;MUL1;SPRY2;FGF2
GO_Biological_Process_2023,Response To Amyloid-Beta (GO:1904645),4/43,0.0020060696319491,0.2282510717508852,0,0,8.218052949760267,51.04707590465461,GRIN2A;CALCR;TLR6;TLR4
GO_Biological_Process_2023,Innate Immune Response In Mucosa (GO:0002227),3/21,0.0021728033715181,0.2282510717508852,0,0,13.314439946018894,81.6406449687571,DEFA4;DEFA3;DEFA1
GO_Biological_Process_2023,Regulation Of Ketone Biosynthetic Process (GO:0010566),2/6,0.0022583144908214,0.2282510717508852,0,0,39.810483870967744,242.5707141271066,H6PD;CLCN2
