Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Staphylococcus aureus infection,5/95,0.0068233018102686,0.8633889986295977,0,0,4.458049886621315,22.234130555492047,FCGR3A;DEFA4;DSG1;DEFA3;DEFA1
KEGG_2021_Human,Transcriptional misregulation in cancer,7/192,0.0106541484941122,0.8633889986295977,0,0,3.046490935379824,13.836570604255977,DEFA4;NFKBIZ;DEFA3;DEFA1;DUSP6;ETV5;ETV6
KEGG_2021_Human,Mineral absorption,3/60,0.0392101184424837,0.8633889986295977,0,0,4.196249733645856,13.590899416906105,SLC34A1;ATP1B4;CLCN2
KEGG_2021_Human,Linoleic acid metabolism,2/29,0.0506493570161387,0.8633889986295977,0,0,5.8909796893667865,17.571783541959874,PLA2G2E;CYP2E1
KEGG_2021_Human,Neuroactive ligand-receptor interaction,8/341,0.0654166090851671,0.8633889986295977,0,0,1.9275804730350183,5.256471646600548,GABRA1;GRIN2A;NMB;NPFFR1;MC1R;CALCR;CTSG;OPRM1
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,3/76,0.069829076496827,0.8633889986295977,0,0,3.273861682657645,8.714053313465339,CYP2E1;CYP2F1;ADH6
KEGG_2021_Human,Synaptic vesicle cycle,3/78,0.074237539798944,0.8633889986295977,0,0,3.1862348178137654,8.285756900185758,RIMS1;SLC1A6;SLC1A7
KEGG_2021_Human,Calcium signaling pathway,6/240,0.0814292045209359,0.8633889986295977,0,0,2.050861706599412,5.1436048279613065,RET;GRIN2A;FGF7;ITPKA;ERBB2;FGF2
KEGG_2021_Human,Nicotine addiction,2/40,0.0890840959925799,0.8633889986295977,0,0,4.183361629881155,10.116098236069096,GABRA1;GRIN2A
KEGG_2021_Human,Riboflavin metabolism,1/8,0.0957483995431995,0.8633889986295977,0,0,11.327022375215146,26.57354977580402,RFK
KEGG_2021_Human,Olfactory transduction,9/440,0.101939125203871,0.8633889986295977,0,0,1.6739128341885607,3.8221781760306217,OR5W2;OR6C76;OR5AR1;OR11H6;OR10G6;OR8B3;OR12D3;OR2A25;OR4C46
KEGG_2021_Human,Glycosphingolipid biosynthesis,2/45,0.108659309107876,0.8633889986295977,0,0,3.695986496624156,8.203382092997426,B3GALT1;ST3GAL5
KEGG_2021_Human,Proteoglycans in cancer,5/205,0.1150345517454441,0.8633889986295977,0,0,1.9948979591836733,4.31401221225388,ERBB2;GPC3;NANOGP8;TLR4;FGF2
KEGG_2021_Human,Aldosterone synthesis and secretion,3/98,0.1244699937562724,0.8633889986295977,0,0,2.5128915405923715,5.236088497360296,NR4A2;ATP1B4;PRKD2
KEGG_2021_Human,Amoebiasis,3/102,0.1356967140358141,0.8633889986295977,0,0,2.4108698319224637,4.815309698856203,PRDX1;CTSG;TLR4
KEGG_2021_Human,Protein digestion and absorption,3/103,0.1385564976700445,0.8633889986295977,0,0,2.38663967611336,4.717138692324641,SLC7A8;ATP1B4;COL6A6
KEGG_2021_Human,C-type lectin receptor signaling pathway,3/104,0.1414367065917113,0.8633889986295977,0,0,2.362889325369784,4.621582237948076,CYLD;IL23A;NFATC4
KEGG_2021_Human,Ribosome biogenesis in eukaryotes,3/108,0.1531536354522811,0.8633889986295977,0,0,2.272411798727588,4.263757408472278,NHP2;RPP25;RPP25L
KEGG_2021_Human,HIF-1 signaling pathway,3/109,0.1561298540789027,0.8633889986295977,0,0,2.25085936903216,4.179997151153931,CUL2;ERBB2;TLR4
KEGG_2021_Human,MAPK signaling pathway,6/294,0.1637596267702865,0.8633889986295977,0,0,1.661714480874317,3.0066324294179547,FGF7;MAP3K1;ERBB2;FGF2;DUSP6;STK3
KEGG_2021_Human,Ras signaling pathway,5/232,0.166036612675034,0.8633889986295977,0,0,1.7551919446192574,3.151529554518166,GRIN2A;FGF7;PLA2G2E;PAK3;FGF2
