feature,coefficient,abs_coefficient
KRTAP6-1 (337966),0.0725185520599635,0.0725185520599635
OR4C46 (119749),-0.06651353414313721,0.06651353414313721
NFKBIZ (64332),-0.06303692638741916,0.06303692638741916
SPRY4 (81848),-0.06274757302461603,0.06274757302461603
IGFL4 (444882),-0.05839829652525175,0.05839829652525175
TTLL2 (83887),0.057566939447990996,0.057566939447990996
SULT1B1 (27284),-0.05605000540431971,0.05605000540431971
ANXA2R (389289),0.0558252381432168,0.0558252381432168
NMB (4828),-0.05422400289633055,0.05422400289633055
RFK (55312),-0.053726289358824994,0.053726289358824994
DEFA1 (1667),-0.05197847984422695,0.05197847984422695
LYPD6B (130576),-0.05142525083132159,0.05142525083132159
MIEN1 (84299),0.049861220868935234,0.049861220868935234
KCNK15 (60598),0.048159805907500505,0.048159805907500505
ST3GAL5 (8869),-0.048145619144815646,0.048145619144815646
SDHAF3 (57001),-0.047751998981719286,0.047751998981719286
OR5AR1 (219493),0.04766471253228643,0.04766471253228643
TLR4 (7099),-0.04766378207476722,0.04766378207476722
MC1R (4157),-0.0476047991415213,0.0476047991415213
ATP1B4 (23439),0.04649001843241525,0.04649001843241525
CMTM7 (112616),-0.04596106916221453,0.04596106916221453
LRRC8C (84230),-0.045942357272828235,0.045942357272828235
MAML2 (84441),0.04456803352352257,0.04456803352352257
ETV6 (2120),-0.04437512084531711,0.04437512084531711
DOCK6 (57572),-0.04378214294240236,0.04378214294240236
UBQLN2 (29978),0.04315915042669866,0.04315915042669866
KRTAP2-4 (85294),-0.04267033271696502,0.04267033271696502
RAP2B (5912),-0.04245579182512327,0.04245579182512327
CHD3 (1107),0.042126428086105214,0.042126428086105214
ELF5 (2001),0.04162876526580774,0.04162876526580774
SPATS1 (221409),-0.041021141855538505,0.041021141855538505
TBXT (6862),-0.040649480909205164,0.040649480909205164
DEFA3 (1668),-0.03991354839592696,0.03991354839592696
H1-6 (3010),0.03947570170836308,0.03947570170836308
CIDEA (1149),-0.038121769749639836,0.038121769749639836
SLC34A1 (6569),0.03752763383083792,0.03752763383083792
RAMAC (83640),-0.03752494222777608,0.03752494222777608
SLC39A6 (25800),0.03746954644237029,0.03746954644237029
FHL3 (2275),-0.037447367205263156,0.037447367205263156
DEFA4 (1669),-0.03706912446385463,0.03706912446385463
WDR38 (401551),0.03668998389506944,0.03668998389506944
MUC5AC (4586),-0.03661485534173774,0.03661485534173774
NIM1K (167359),0.03628441023939858,0.03628441023939858
ROR2 (4920),0.03616648074979623,0.03616648074979623
BPIFA3 (128861),-0.03615793781374806,0.03615793781374806
NAP1L2 (4674),0.03592747975735127,0.03592747975735127
FGF2 (2247),0.03572191603830561,0.03572191603830561
AIRIM (54955),0.03557142693531557,0.03557142693531557
STK3 (6788),0.03549090982951351,0.03549090982951351
GAPDHS (26330),-0.03527484784727533,0.03527484784727533
NLRP2 (55655),0.03508568854896019,0.03508568854896019
PEG10 (23089),0.03492326674915181,0.03492326674915181
FBLN2 (2199),0.03452975002022027,0.03452975002022027
H6PD (9563),-0.03449697019533819,0.03449697019533819
PIWIL1 (9271),0.034268715050434335,0.034268715050434335
CENPK (64105),-0.034255079973919446,0.034255079973919446
C3orf70 (285382),-0.03392434798100486,0.03392434798100486
LYPD8 (646627),-0.03391231263706145,0.03391231263706145
PRKD2 (25865),-0.03332752493846022,0.03332752493846022
ONECUT1 (3175),0.03331652691239138,0.03331652691239138
GPC3 (2719),-0.03321559980321256,0.03321559980321256
FCGR3A (2214),0.03319204438048567,0.03319204438048567
CNTD1 (124817),-0.03301037842853825,0.03301037842853825
EBP (10682),0.032731222269906726,0.032731222269906726
APOC1 (341),-0.03253436976276868,0.03253436976276868
RABGGTA (5875),-0.032369624311680875,0.032369624311680875
KRT81 (3887),-0.03216066157810643,0.03216066157810643
HDAC10 (83933),-0.031798786664885156,0.031798786664885156
USP17L12 (100287205),-0.03165027007136152,0.03165027007136152
CCDC152 (100129792),0.03158762168563259,0.03158762168563259
ATF3 (467),0.03153859144380886,0.03153859144380886
FMR1NB (158521),-0.03147715352226945,0.03147715352226945
ITPKA (3706),0.03143875430946107,0.03143875430946107
E2F4 (1874),-0.031244703352275714,0.031244703352275714
TP53TG3D (729264),-0.030798281545504475,0.030798281545504475
SERPINB11 (89778),-0.030784915009541513,0.030784915009541513
PRRT3 (285368),0.030584941631668562,0.030584941631668562
RPP25 (54913),-0.030566630833336505,0.030566630833336505
NANOGP8 (388112),-0.030432359031984744,0.030432359031984744
WDR70 (55100),0.030362678252869157,0.030362678252869157
IFIT1B (439996),-0.030200352138525604,0.030200352138525604
AKAP8 (10270),-0.0295118711203914,0.0295118711203914
H2AP (25763),-0.029507965752256685,0.029507965752256685
FCN1 (2219),-0.02947606447612073,0.02947606447612073
UBAP2 (55833),-0.029387034186350663,0.029387034186350663
SIGMAR1 (10280),-0.029239361828300357,0.029239361828300357
SPCS3 (60559),-0.028970598206951186,0.028970598206951186
CYP2E1 (1571),0.028811705713863125,0.028811705713863125
SLC1A6 (6511),0.028740292349868007,0.028740292349868007
CAPSL (133690),0.02873943073494893,0.02873943073494893
EIF3CL (728689),0.028675060451760107,0.028675060451760107
CIMIP2A (401565),-0.028666270506466873,0.028666270506466873
IL16 (3603),-0.028620855222562885,0.028620855222562885
PTPRU (10076),0.02853289632706707,0.02853289632706707
AADAC (13),-0.028056714859257214,0.028056714859257214
MFSD8 (256471),0.02762346258293045,0.02762346258293045
FGF7 (2252),0.027573221418402856,0.027573221418402856
SPRY2 (10253),-0.027432050330906493,0.027432050330906493
ZNF648 (127665),-0.02740516219534218,0.02740516219534218
SORD (6652),-0.027396236485776007,0.027396236485776007
TBC1D9 (23158),0.027283182668319896,0.027283182668319896
CYP2F1 (1572),0.027279229678258982,0.027279229678258982
OVOL3 (728361),0.026955985906030773,0.026955985906030773
ADK (132),0.026919242554418715,0.026919242554418715
MSMB (4477),-0.02691356203108047,0.02691356203108047
PLA2G2E (30814),-0.02680769329364596,0.02680769329364596
CTSG (1511),-0.026537948138796164,0.026537948138796164
CRISPLD1 (83690),-0.02653542366296172,0.02653542366296172
EFHD1 (80303),0.02632851143997163,0.02632851143997163
TGM1 (7051),-0.026104298905097655,0.026104298905097655
MRPL53 (116540),0.026095527354741997,0.026095527354741997
KRTAP15-1 (254950),-0.02607077710237205,0.02607077710237205
PITPNM3 (83394),0.026029545753662994,0.026029545753662994
TRIM17 (51127),-0.025574992093186952,0.025574992093186952
CDKL2 (8999),0.025378758828034465,0.025378758828034465
CLCN2 (1181),-0.025343367230143167,0.025343367230143167
GSC (145258),0.025325373897706754,0.025325373897706754
PAK3 (5063),-0.02530356718821801,0.02530356718821801
TRAPPC8 (22878),0.025293031034596597,0.025293031034596597
SYN3 (8224),-0.025180912963481485,0.025180912963481485
OR6C76 (390326),0.02517536563515452,0.02517536563515452
PRDX1 (5052),0.025127315300152057,0.025127315300152057
GAGE12B (729428),-0.025093628059808838,0.025093628059808838
ANKS1A (23294),-0.025006540172565008,0.025006540172565008
ZFP41 (286128),0.02496217646615093,0.02496217646615093
SLC1A7 (6512),-0.024933927388963148,0.024933927388963148
KRTAP13-2 (337959),-0.02492943353510949,0.02492943353510949
STC2 (8614),0.024858055412867727,0.024858055412867727
RIMS1 (22999),0.02485048583238726,0.02485048583238726
