feature,coefficient,abs_coefficient
KRTAP6-1 (337966),0.0725185520599635,0.0725185520599635
OR4C46 (119749),-0.06651353414313721,0.06651353414313721
NFKBIZ (64332),-0.06303692638741916,0.06303692638741916
SPRY4 (81848),-0.06274757302461603,0.06274757302461603
IGFL4 (444882),-0.05839829652525175,0.05839829652525175
TTLL2 (83887),0.057566939447990996,0.057566939447990996
SULT1B1 (27284),-0.05605000540431971,0.05605000540431971
ANXA2R (389289),0.0558252381432168,0.0558252381432168
NMB (4828),-0.05422400289633055,0.05422400289633055
RFK (55312),-0.053726289358824994,0.053726289358824994
DEFA1 (1667),-0.05197847984422695,0.05197847984422695
LYPD6B (130576),-0.05142525083132159,0.05142525083132159
MIEN1 (84299),0.049861220868935234,0.049861220868935234
KCNK15 (60598),0.048159805907500505,0.048159805907500505
ST3GAL5 (8869),-0.048145619144815646,0.048145619144815646
SDHAF3 (57001),-0.047751998981719286,0.047751998981719286
OR5AR1 (219493),0.04766471253228643,0.04766471253228643
TLR4 (7099),-0.04766378207476722,0.04766378207476722
MC1R (4157),-0.0476047991415213,0.0476047991415213
ATP1B4 (23439),0.04649001843241525,0.04649001843241525
CMTM7 (112616),-0.04596106916221453,0.04596106916221453
LRRC8C (84230),-0.045942357272828235,0.045942357272828235
MAML2 (84441),0.04456803352352257,0.04456803352352257
ETV6 (2120),-0.04437512084531711,0.04437512084531711
DOCK6 (57572),-0.04378214294240236,0.04378214294240236
