gene_symbol,coefficient,abs_coefficient
KRTAP6-1,0.0725185520599635,0.0725185520599635
OR4C46,-0.0665135341431372,0.0665135341431372
NFKBIZ,-0.0630369263874191,0.0630369263874191
SPRY4,-0.062747573024616,0.062747573024616
IGFL4,-0.0583982965252517,0.0583982965252517
TTLL2,0.0575669394479909,0.0575669394479909
SULT1B1,-0.0560500054043197,0.0560500054043197
ANXA2R,0.0558252381432168,0.0558252381432168
NMB,-0.0542240028963305,0.0542240028963305
RFK,-0.0537262893588249,0.0537262893588249
DEFA1,-0.0519784798442269,0.0519784798442269
LYPD6B,-0.0514252508313215,0.0514252508313215
MIEN1,0.0498612208689352,0.0498612208689352
KCNK15,0.0481598059075005,0.0481598059075005
ST3GAL5,-0.0481456191448156,0.0481456191448156
SDHAF3,-0.0477519989817192,0.0477519989817192
OR5AR1,0.0476647125322864,0.0476647125322864
TLR4,-0.0476637820747672,0.0476637820747672
MC1R,-0.0476047991415213,0.0476047991415213
ATP1B4,0.0464900184324152,0.0464900184324152
CMTM7,-0.0459610691622145,0.0459610691622145
LRRC8C,-0.0459423572728282,0.0459423572728282
MAML2,0.0445680335235225,0.0445680335235225
ETV6,-0.0443751208453171,0.0443751208453171
DOCK6,-0.0437821429424023,0.0437821429424023
