feature,coefficient,abs_coefficient
OR4C46 (119749),-0.0665135341431372,0.0665135341431372
NFKBIZ (64332),-0.0630369263874191,0.0630369263874191
SPRY4 (81848),-0.062747573024616,0.062747573024616
IGFL4 (444882),-0.0583982965252517,0.0583982965252517
SULT1B1 (27284),-0.0560500054043197,0.0560500054043197
NMB (4828),-0.0542240028963305,0.0542240028963305
RFK (55312),-0.0537262893588249,0.0537262893588249
DEFA1 (1667),-0.0519784798442269,0.0519784798442269
LYPD6B (130576),-0.0514252508313215,0.0514252508313215
ST3GAL5 (8869),-0.0481456191448156,0.0481456191448156
SDHAF3 (57001),-0.0477519989817192,0.0477519989817192
TLR4 (7099),-0.0476637820747672,0.0476637820747672
MC1R (4157),-0.0476047991415213,0.0476047991415213
CMTM7 (112616),-0.0459610691622145,0.0459610691622145
LRRC8C (84230),-0.0459423572728282,0.0459423572728282
ETV6 (2120),-0.0443751208453171,0.0443751208453171
DOCK6 (57572),-0.0437821429424023,0.0437821429424023
KRTAP2-4 (85294),-0.042670332716965,0.042670332716965
RAP2B (5912),-0.0424557918251232,0.0424557918251232
SPATS1 (221409),-0.0410211418555385,0.0410211418555385
TBXT (6862),-0.0406494809092051,0.0406494809092051
DEFA3 (1668),-0.0399135483959269,0.0399135483959269
CIDEA (1149),-0.0381217697496398,0.0381217697496398
RAMAC (83640),-0.037524942227776,0.037524942227776
FHL3 (2275),-0.0374473672052631,0.0374473672052631
